#{"t_start": 1679306956.1470425, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation
-23.686913,1298,11685.534192,True,False,False,9,6532055847846413863,1298,1,0,1,16.17916681109523,10.375,14.267917983729514,12201.324279859304,10678.375,7407.224898970545,902.7735096128696,307.5,704.1191270964692,-1372.953509714267,-162.0,-423.38288764473856,508.38851166081264,444.9322916666676,308.634370790439,45430,1298,1584,0,54,0,1131,21,92,763,-23.686919172260573,320.3512500000013,-10.603969696196716,-90.47500000000001,0,-43.00000000000007,133.98120466263168,0
125.38723,2880,11697.588874,False,True,False,20,5653644878602598393,2880,0,0,0,16.36142203891793,9.0,14.75062880848704,23558.68375229165,19477.3125,14441.660304232408,1574.528106595173,919.5,928.2837127128889,-4371.27593801585,-717.0,-1258.216428918469,981.6118230121632,811.5546875000128,601.7358460096843,106560,2880,5548,0,239,0,2266,137,238,879,125.3859627329978,584.3193749999904,-35.89494516090242,0,0,-38.2,242.09134655889267,0
105.368355,2880,11748.371062,False,True,False,0,6349800323612103389,2880,0,0,0,16.11269685231821,9.8125,14.325203673068726,15270.790838689763,11236.5625,11744.48608117826,1532.2757051341373,862.5,1081.3675432283894,-596948.6209924769,-1083.0,-1898.6022397829822,636.2829516120735,468.1901041666715,489.3535867157574,233280,2880,24129,0,361,0,2165,133,221,304,105.36802540631604,337.0968750000024,-43.17180807591253,0,0,-34.59999999999995,372.883085513808,0
159.36089,2880,11752.859874,False,True,False,10,3078433757001171514,2880,0,0,0,10.30877557085956,7.0625,7.04410004251921,16165.014608254098,15714.125,15671.482568039755,236.73194833325314,295.5,230.1528277025243,-99.85886686528691,-162.0,-97.4327332427382,673.5422753439948,654.755208333306,652.9784403349904,144000,2880,11069,0,54,0,2690,75,61,0,159.3609277259662,471.4237499999935,-9.42132034355966,0,0,0,494.163136699354,0
166.06903,2880,11764.979067,False,True,False,17,3304969752033501805,2880,0,0,0,16.53348816219229,10.4375,15.992481479119636,22069.208429054477,28142.1875,23192.139653560036,1635.938910089376,400.5,1497.192588485436,-407368.53478132625,-153.0,-4706.395594307257,919.5503512106218,1172.591145833328,966.3391522316649,175680,2880,6859,0,51,0,2694,3,132,286,166.06974482145833,844.2656250000039,-12.864852813742418,0,0,-96.20000000000083,261.2176967424866,0
137.89003,2880,11766.840404,False,True,False,16,6731999589831393246,2880,0,0,0,16.633546157051555,10.1875,15.371235429587188,23627.91430940915,20810.5,19728.534274526875,1686.1279061087582,1137.0,1502.0741789952328,-7337.051515209964,-996.0,-4566.85735740334,984.4964295587074,867.1041666666621,822.0222614386182,155520,2880,8026,0,332,0,2105,128,315,225,137.89022871033734,624.3150000000062,-47.63038671967526,0,0,-89.40000000000073,340.0567589817025,0
68.18812,2647,11789.188448,True,False,False,8,5688311276790460122,2647,1,0,1,16.52851391285388,9.5625,14.905919074460147,20369.86773958123,13417.0,14474.791940439789,1340.5451184973829,1054.5,1547.3850606808683,-6097.695426465974,-1020.0,-2241.038153321905,848.7444891492323,559.0416666666646,603.1163308516611,140291,2647,11134,0,340,0,1866,179,262,2,68.18815894968333,402.5099999999997,-45.4128845532958,-40.525,0,-34.199999999999946,329.3818382513942,0
37.764923,1744,11813.784898,True,False,False,12,1857077056396156136,1744,1,0,1,15.774635374572558,10.1875,15.705361085080495,10874.835606454835,11808.125,12243.948233523286,888.2322479692747,685.5,758.6292829522678,-3249.08745644095,-645.0,-584.8096998395843,453.1181502689546,492.00520833333417,510.16450973013616,127312,1744,8799,0,215,0,1280,41,208,44,37.7649301926902,354.24374999999895,-30.359655121146066,-43.224999999999994,0,-26.599999999999937,188.65548627728742,0
10.490627,1206,11872.88009,True,False,False,1,5750677976490002337,1206,1,0,1,15.215818748337082,9.5,15.037209469794316,7123.081596101779,6703.125,5996.448997731095,595.860204039873,573.0,640.3269562310593,-815.2985963554348,-540.0,-1940.4042563159069,296.79506650424474,279.29687500000165,249.8520415721285,115776,1206,8278,0,180,0,804,62,160,0,10.490743491029747,201.09375000000023,-24.93362481734274,-39.849999999999994,0,-21.799999999999955,147.68433576352078,0
49.131954,2760,11891.848522,True,False,False,21,1565687972494181079,2760,1,0,1,16.350173815921917,7.75,16.243883264408804,13198.042460291283,7935.625,9322.721595692565,1172.2154790773068,1639.5,880.517503858167,-4789.198505463542,-1833.0,-2786.024339605428,549.9184358454701,330.6510416666665,388.44673315385705,226320,2760,24552,0,611,0,1427,351,371,154,49.13163930177705,238.06874999999997,-75.15777920785867,-45.25,0,-54.40000000000023,457.7788650185117,0
